Peak	Gene	chrom_atac	start_atac	end_atac	chrom_rna	start_rna	end_rna	strand	Gene_type	Gene_id	distance
ATAC_chr12_9711782_9718026	CD69	chr12	9711782	9718026	chr12	9760900	9760901	-	protein_coding	ENSG00000110848.8	42875
ATAC_chr1_150925486_150926850	CERS2	chr1	150925486	150926850	chr1	150974834	150974835	-	protein_coding	ENSG00000143418.20	47985
ATAC_chr3_53044401_53047237	ENSG00000272305	chr3	53044401	53047237	chr3	53099452	53099453	-	protein_coding	ENSG00000272305.5	52216
ATAC_chr1_2746576_2749224	TTC34	chr1	2746576	2749224	chr1	2801692	2801693	-	protein_coding	ENSG00000215912.13	52469
ATAC_chr19_19457725_19461699	TSSK6	chr19	19457725	19461699	chr19	19515547	19515548	-	protein_coding	ENSG00000178093.14	53849
ATAC_chr10_35184398_35186239	ENSG00000230534	chr10	35184398	35186239	chr10	35126656	35126657	-	lncRNA	ENSG00000230534.6	57742
ATAC_chr5_10698419_10701460	DAP	chr5	10698419	10701460	chr5	10761233	10761234	-	protein_coding	ENSG00000112977.16	59774
ATAC_chr2_43293407_43294976	ENSG00000234936	chr2	43293407	43294976	chr2	43229572	43229573	+	lncRNA	ENSG00000234936.1	63835
ATAC_chr19_19457725_19461699	YJEFN3	chr19	19457725	19461699	chr19	19528910	19528911	+	protein_coding	ENSG00000250067.12	67212
ATAC_chr1_155226415_155228276	SLC50A1	chr1	155226415	155228276	chr1	155135851	155135852	+	protein_coding	ENSG00000169241.19	90564
ATAC_chr1_160428709_160430464	SLAMF6	chr1	160428709	160430464	chr1	160523254	160523255	-	protein_coding	ENSG00000162739.14	92791
ATAC_chr16_28749925_28750919	TUFM	chr16	28749925	28750919	chr16	28846347	28846348	-	protein_coding	ENSG00000178952.11	95429
ATAC_chr19_18107778_18108423	ARRDC2	chr19	18107778	18108423	chr19	18008169	18008170	+	protein_coding	ENSG00000105643.11	99609
ATAC_chr7_2734198_2737162	TTYH3	chr7	2734198	2737162	chr7	2631985	2631986	+	protein_coding	ENSG00000136295.16	102213
ATAC_chr6_167020312_167020739	CCR6	chr6	167020312	167020739	chr6	167123095	167123096	+	protein_coding	ENSG00000112486.18	102357
ATAC_chr16_28749925_28750919	ENSG00000261766	chr16	28749925	28750919	chr16	28863339	28863340	-	lncRNA	ENSG00000261766.1	112421
ATAC_chr8_80363556_80365184	ENSG00000251867	chr8	80363556	80365184	chr8	80486698	80486699	-	lncRNA	ENSG00000251867.4	121515
ATAC_chr1_38173053_38174797	POU3F1	chr1	38173053	38174797	chr1	38046792	38046793	-	protein_coding	ENSG00000185668.8	126261
ATAC_chr16_68368372_68369181	ESRP2	chr16	68368372	68369181	chr16	68236126	68236127	-	protein_coding	ENSG00000103067.14	132246
ATAC_chr18_69870394_69872231	ENSG00000266840	chr18	69870394	69872231	chr18	69724974	69724975	-	lncRNA	ENSG00000266840.1	145420
ATAC_chr8_78664698_78667310	PKIA	chr8	78664698	78667310	chr8	78516339	78516340	+	protein_coding	ENSG00000171033.13	148359
ATAC_chr4_48756805_48757440	OCIAD2	chr4	48756805	48757440	chr4	48906773	48906774	-	protein_coding	ENSG00000145247.12	149334
ATAC_chr15_78938442_78940267	RASGRF1	chr15	78938442	78940267	chr15	79090779	79090780	-	protein_coding	ENSG00000058335.16	150513
ATAC_chr2_230226987_230227880	SLC16A14	chr2	230226987	230227880	chr2	230068923	230068924	-	protein_coding	ENSG00000163053.11	158064
ATAC_chr2_230226987_230227880	SP100	chr2	230226987	230227880	chr2	230416200	230416201	+	protein_coding	ENSG00000067066.17	188321
ATAC_chr17_39920149_39921796	MIEN1	chr17	39920149	39921796	chr17	39730531	39730532	-	protein_coding	ENSG00000141741.12	189618
ATAC_chr12_123432166_123434352	MPHOSPH9	chr12	123432166	123434352	chr12	123233140	123233141	-	protein_coding	ENSG00000051825.15	199026
ATAC_chr16_28749925_28750919	NFATC2IP	chr16	28749925	28750919	chr16	28950936	28950937	+	protein_coding	ENSG00000176953.13	200018
ATAC_chr7_2734198_2737162	CARD11	chr7	2734198	2737162	chr7	3043866	3043867	-	protein_coding	ENSG00000198286.11	306705
ATAC_chr22_30078766_30079303	ZMAT5	chr22	30078766	30079303	chr22	29767006	29767007	-	protein_coding	ENSG00000100319.13	311760
ATAC_chr16_68368372_68369181	PSKH1	chr16	68368372	68369181	chr16	67893253	67893254	+	protein_coding	ENSG00000159792.10	475119
ATAC_chr2_230226987_230227880	CAB39	chr2	230226987	230227880	chr2	230712841	230712842	+	protein_coding	ENSG00000135932.12	484962
